                        datetime  main.aqi  components.co  components.no  components.no2  components.o3  components.so2  components.pm2_5  components.pm10  components.nh3  coord.lon  coord.lat              extraction_date_time       city_name
7535   2023-12-09 21:04:01+08:00       1.0         297.07           0.00            4.71          31.83            0.97              3.04             5.33            3.61   120.9031    15.7161  2023-12-09 21:04:01.926110+08:00           Muñoz
5229   2023-12-07 18:04:55+08:00       1.0         190.26           0.00            0.69          43.99            0.28              1.70             6.45            0.23   126.1986     9.0783  2023-12-07 18:04:55.865043+08:00          Tandag
5696   2023-12-08 06:01:38+08:00       2.0         567.44           0.20            8.82           2.01            0.95             19.26            21.56            8.36   124.2464     7.2236  2023-12-08 06:01:38.431197+08:00        Cotabato
1421   2023-12-04 09:01:41+08:00       1.0         350.48           0.29            2.23          32.54            0.48              7.34             8.08            2.41   124.2464     7.2236  2023-12-04 09:01:42.057348+08:00        Cotabato
10291  2023-12-12 09:03:12+08:00       1.0         307.08           0.51            2.16          46.49            0.68              5.29             7.56            2.15   120.9031    15.7161  2023-12-12 09:03:12.804544+08:00           Muñoz
9720   2023-12-11 21:02:48+08:00       2.0         250.34           0.00            0.58          63.66            0.36              7.54             8.64            0.65   120.5936    18.1989  2023-12-11 21:02:48.334986+08:00           Laoag
9728   2023-12-11 21:03:05+08:00       2.0         560.76           0.00           15.77          27.90            2.12             12.23            16.58            7.54   120.5736    15.2216  2023-12-11 21:03:05.966930+08:00  Mabalacat City
9410   2023-12-11 15:01:30+08:00       1.0         203.61           0.06            0.56          40.41            0.56              1.15             1.74            0.95   124.8861    11.7753  2023-12-11 15:01:30.906726+08:00      Catbalogan
5023   2023-12-07 15:02:12+08:00       1.0         293.73           0.06            1.00          51.50            0.25              3.61             4.06            2.19   121.8892    17.1485  2023-12-07 15:02:12.987679+08:00          Ilagan
12177  2023-12-14 03:02:04+08:00       2.0         507.36           0.10            9.34           3.89            0.89             13.20            16.91            8.61   124.2464     7.2236  2023-12-14 03:02:04.773217+08:00        Cotabato
